Order Id,Column,Timestamp,Size,Price,Fees,Side
0,0,2020-03-06,92.40874609801365,108.10675841672013,9.99000999000964,Buy
1,0,2020-03-10,92.40874609801365,107.8810878469243,9.969156055623936,Sell
2,0,2020-03-11,93.90058033158846,105.95501781536328,9.9492376619055,Buy
3,0,2020-03-13,93.90058033158846,102.67726347642133,9.641454627295374,Sell
4,0,2020-05-08,101.68888616327031,94.62382119356812,9.62219098168498,Buy
5,0,2020-05-16,101.68888616327031,88.5685991096692,9.006442192503474,Sell
6,0,2020-05-24,97.63792652653184,92.05897362604756,8.988447303006978,Buy
7,0,2020-05-30,97.63792652653184,91.97122094810386,8.979879313486393,Sell
8,0,2020-07-03,96.41295390374911,92.9536658074298,8.961937496675091,Buy
9,0,2020-07-30,96.41295390374911,90.79268140800488,8.753590607387753,Sell
10,0,2020-08-16,89.93286824915276,97.14024567371456,8.736100915863062,Buy
11,0,2020-08-27,89.93286824915276,88.73361644105496,7.980068636664251,Sell
12,0,2020-09-20,91.95858355091131,86.6055580246601,7.964124443583387,Buy
13,0,2020-10-22,91.95858355091131,90.24202360222607,8.298528667228616,Sell
14,0,2020-11-08,85.1393393028163,97.27522269011855,8.281948190369803,Buy
15,0,2020-12-07,85.1393393028163,98.54160631112899,8.389767255167754,Sell
16,0,2020-12-23,80.66519256322238,103.7994730734289,8.373004483428304,Buy
17,0,2021-01-26,80.66519256322238,102.11659965724192,8.237255175252907,Sell
18,0,2021-03-29,79.9843869229492,102.78002294215224,8.220797122954536,Buy
19,0,2021-04-15,79.9843869229492,98.68523975806458,7.893278400393047,Sell
20,0,2021-04-27,74.87893680697678,105.20325141214207,7.877507614377464,Buy
21,0,2021-05-18,74.87893680697678,100.05069300496254,7.491689519012825,Sell
22,0,2021-06-08,72.51021367659357,103.11266136564879,7.476721108384481,Buy
23,0,2021-06-26,72.51021367659357,97.16763509416052,7.045645983126851,Sell
24,0,2021-10-13,81.49802459884069,86.27900863839312,7.0315687683742,Buy
25,0,2021-10-28,81.49802459884069,80.5551290661548,6.565083890196271,Sell
26,0,2021-11-16,78.71607869387246,83.23543230535233,6.551966839466331,Buy
27,0,2021-11-30,78.71607869387246,76.35046261889983,6.010009023822887,Sell
28,0,2022-01-24,83.23937663855207,72.05725530394378,5.998001013784233,Buy
29,0,2022-03-07,83.23937663855207,79.78486717762173,6.641242609054907,Sell
